ID,Name,STATUS,SKILL_ID,SKILL_LV,PERCENT,CASTING_TIME,COOLDOWN_TIME,DISPEL,IF,IfCondition
1001,SCORPION,BERSERK_ST,NPC_FIREATTACK,1,100,0,15000,0,0,0
1001,SCORPION,BERSERK_ST,TF_POISON,3,100,1500,10000,NO_DISPEL,0,0
1002,PORING,BERSERK_ST,NPC_WATERATTACK,1,100,0,15000,0,0,0
1002,PORING,IDLE_ST,NPC_PROVOCATION,1,2,0,0,0,0,0
1002,PORING,MOVEITEM_ST,NPC_EMOTION,1,15,0,10000,0,0,0
1004,HORNET,BERSERK_ST,NPC_WINDATTACK,1,100,0,15000,0,0,0
1004,HORNET,RUSH_ST,NPC_PROVOCATION,1,10,0,0,0,0,0
1004,HORNET,BERSERK_ST,NPC_PIERCINGATT,1,100,0,10000,NO_DISPEL,0,0
1007,FABRE,BERSERK_ST,NPC_GROUNDATTACK,1,100,0,15000,0,0,0
1008,PUPA,IDLE_ST,NPC_EMOTION,1,5,0,10000,0,0,0
1008,PUPA,IDLE_ST,NPC_METAMORPHOSIS,1,1,1000,0,0,0,0
1009,CONDOR,BERSERK_ST,NPC_WINDATTACK,1,100,0,15000,0,0,0
1009,CONDOR,IDLE_ST,NPC_EMOTION,1,5,0,10000,0,0,0
1009,CONDOR,RUSH_ST,BS_ADRENALINE,1,50,1500,30000,0,0,0
1009,CONDOR,BERSERK_ST,BS_ADRENALINE,1,50,1500,30000,0,0,0
1010,WILLOW,BERSERK_ST,NPC_GROUNDATTACK,1,100,0,15000,0,0,0
1010,WILLOW,RUSH_ST,MG_NAPALMBEAT,10,100,1000,10000,0,0,0
1010,WILLOW,RUSH_ST,MG_NAPALMBEAT,10,1000,1000,10000,0,IF_MAGICLOCKED,0
1011,CHONCHON,BERSERK_ST,NPC_WINDATTACK,1,100,0,15000,0,0,0
1011,CHONCHON,IDLE_ST,NPC_PROVOCATION,1,2,0,0,0,0,0
1012,RODA_FROG,BERSERK_ST,NPC_WATERATTACK,1,100,0,15000,0,0,0
1013,WOLF,BERSERK_ST,NPC_GROUNDATTACK,1,100,0,15000,0,0,0
1014,SPORE,BERSERK_ST,NPC_WATERATTACK,1,100,0,15000,0,0,0
1014,SPORE,IDLE_ST,NPC_PROVOCATION,1,2,0,0,0,0,0
1014,SPORE,IDLE_ST,NPC_EMOTION,1,5,0,10000,0,0,0
1014,SPORE,BERSERK_ST,NPC_SLEEPATTACK,5,100,0,10000,NO_DISPEL,0,0
1015,ZOMBIE,BERSERK_ST,NPC_POISON,1,100,1000,10000,NO_DISPEL,0,0
1015,ZOMBIE,ANGRY_ST,NPC_POISON,1,100,1000,10000,NO_DISPEL,0,0
1016,ARCHER_SKELETON,BERSERK_ST,AC_DOUBLE,1,100,1500,10000,0,0,0
1016,ARCHER_SKELETON,RUSH_ST,AC_DOUBLE,1,100,1500,10000,0,0,0
1016,ARCHER_SKELETON,BERSERK_ST,AC_DOUBLE,1,300,1500,10000,0,IF_HP,30
1018,CREAMY,BERSERK_ST,NPC_WINDATTACK,1,100,0,15000,0,0,0
1018,CREAMY,IDLE_ST,AL_TELEPORT,1,50,0,10000,0,0,0
1018,CREAMY,BERSERK_ST,NPC_SLEEPATTACK,5,100,0,10000,NO_DISPEL,0,0
1019,PECOPECO,BERSERK_ST,NPC_FIREATTACK,1,100,0,15000,0,0,0
1019,PECOPECO,IDLE_ST,NPC_PROVOCATION,1,2,0,0,0,0,0
1019,PECOPECO,IDLE_ST,NPC_EMOTION,1,5,0,10000,0,0,0
1019,PECOPECO,BERSERK_ST,AS_SONICBLOW,1,10,1500,10000,NO_DISPEL,0,0
1020,MANDRAGORA,BERSERK_ST,NPC_GROUNDATTACK,1,200,0,7500,0,0,0
1023,ORK_WARRIOR,BERSERK_ST,NPC_GROUNDATTACK,1,100,0,15000,0,0,0
1023,ORK_WARRIOR,IDLE_ST,NPC_SMOKING,1,10,0,0,0,0,0
1023,ORK_WARRIOR,IDLE_ST,NPC_PROVOCATION,1,2,0,0,0,0,0
1023,ORK_WARRIOR,RUSH_ST,NPC_EMOTION,1,15,0,10000,0,0,0
1024,WORM_TAIL,BERSERK_ST,NPC_GROUNDATTACK,1,100,0,15000,0,0,0
