ID,BROADCAST,ITEMSUMMON,MONSTERSUMMON,CHANGESTATSKILL,CHANGEOPTION,SAVERETURN,CHANGELEVEL,WARP,WHOIS,GOTOSUMMONBANISH,KILLDIEALIVE,CHANGEJOB,CHANGECOLORSTYLE,AUTORAWUNIT,REFINE,PVPCONTROL
100001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100008,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100009,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100010,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100011,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100012,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100013,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100014,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100017,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100018,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100019,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100021,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100022,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100023,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100024,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100025,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100026,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100028,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100029,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100030,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100031,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100032,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100033,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100034,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100035,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100036,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100037,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100038,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100039,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100040,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100041,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100042,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100043,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100044,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100045,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100046,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100047,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100048,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100049,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100050,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100051,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100052,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100053,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100054,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100055,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100056,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100057,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100058,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100059,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100060,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100061,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100062,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100063,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100064,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100065,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100066,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100067,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100068,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100069,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100070,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100071,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100072,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100073,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100074,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100075,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100076,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100077,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100078,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100079,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100080,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100081,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100082,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100083,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100084,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100085,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100086,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100087,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100088,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100089,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100090,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100091,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100092,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100093,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100094,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100095,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100096,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100097,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100098,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100099,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
