ID,Name,JName,Type,Price,Sell,Weight,ATK,MATK,DEF,MDEF,Range,Slot,STR,AGI,VIT,INT,DEX,LUK,HIT,FLEE,Cri,Avo,Cast,Job,Gender,Loc,wLV,eLV,View,Ele,Eff,HP1,HP2,SP1,SP2,vsRace,RFixPer,vsEle,EFixPer,vsStat,SFixPer,SkillID,SkillLv
501,Red_Potion,"Red Potion",0,50,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,75,0,0,0,0,0,0,0,0,0,0
502,Orange_Potion,"Orange Potion",0,200,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,120,0,0,0,0,0,0,0,0,0,0
503,Yellow_Potion,"Yellow Potion",0,550,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,185,0,0,0,0,0,0,0,0,0,0
504,White_Potion,"White Potion",0,1200,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,270,0,0,0,0,0,0,0,0,0,0
505,Blue_Potion,"Blue Potion",0,5000,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,100,0,0,0,0,0,0,0,0
506,Green_Potion,"Green Potion",0,40,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0
507,Red_Herb,"Red Herb",0,18,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,32,0,0,0,0,0,0,0,0,0,0
508,Yellow_Herb,"Yellow Herb",0,40,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,50,0,0,0,0,0,0,0,0,0,0
509,White_Herb,"White Herb",0,120,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,85,0,0,0,0,0,0,0,0,0,0
510,Blue_Herb,"Blue Herb",0,60,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,28,0,0,0,0,0,0,0,0
511,Green_Herb,"Green Herb",0,10,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
512,Apple,"Apple",0,15,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,28,0,0,0,0,0,0,0,0,0,0
513,Banana,"Banana",0,15,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,27,0,0,0,0,0,0,0,0,0,0
514,Grape,"Grape",0,200,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,20,0,0,0,0,0,0,0,0
515,Carrot,"Carrot",0,15,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,29,0,0,0,0,0,0,0,0,0,0
516,Sweet_Potato,"Sweet Potato",0,15,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,26,0,0,0,0,0,0,0,0,0,0
517,Meat,"Meat",0,55,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,95,0,0,0,0,0,0,0,0,0,0
518,Honey,"Honey",0,500,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,110,5,15,0,0,0,0,0,0,0,0
519,Milk,"Milk",0,25,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,37,0,0,0,0,0,0,0,0,0,0
520,Leaflet_of_Hinal,"Leaflet of Hinalle",0,150,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,75,0,0,0,0,0,0,0,0,0,0
521,Leaflet_of_Aloe,"Leaflet of Aloe",0,360,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,110,0,0,0,0,0,0,0,0,0,0
522,Fruit_of_Mastela,"Fruit of Mastela",0,840,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,150,0,0,0,0,0,0,0,0,0,0
523,Holy_Water,"Holy Water",0,20,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
525,Panacea,"Panacea",0,500,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
526,Royal_Jelly,"Royal Jelly",0,7000,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,80,200,40,100,0,0,0,0,0,0,0,0
528,Monster's_Feed,"Monster's Feed",0,60,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,95,0,0,0,0,0,0,0,0,0,0
529,Candy,Candy,0,10,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,75,0,0,0,0,0,0,0,0,0,0
