MapName,Memo,Save,Teleport,pvp,GuildPVP
alb_ship.gat,memo,save,teleport,pvp,nopvpg
alb2trea.gat,memo,save,teleport,pvp,nopvpg
alberta.gat,memo,save,teleport,pvp,nopvpg
alberta_in.gat,memo,save,teleport,pvp,nopvpg
alde_alche.gat,memo,save,teleport,pvp,nopvpg
alde_dun01.gat,memo,save,teleport,pvp,nopvpg
alde_dun02.gat,memo,save,teleport,pvp,nopvpg
alde_dun03.gat,memo,save,teleport,pvp,nopvpg
alde_dun04.gat,memo,save,teleport,pvp,nopvpg
alde_gld.gat,memo,save,teleport,pvp,nopvpg
aldeba_in.gat,memo,save,teleport,pvp,nopvpg
aldebaran.gat,memo,save,teleport,pvp,nopvpg
aldeg_cas01.gat,nomemo,nosave,noteleport,nopvp,pvpg
aldeg_cas02.gat,nomemo,nosave,noteleport,nopvp,pvpg
aldeg_cas03.gat,nomemo,nosave,noteleport,nopvp,pvpg
aldeg_cas04.gat,nomemo,nosave,noteleport,nopvp,pvpg
aldeg_cas05.gat,nomemo,nosave,noteleport,nopvp,pvpg
ama_dun01.gat,memo,save,teleport,pvp,nopvpg
ama_dun02.gat,memo,save,teleport,pvp,nopvpg
ama_dun03.gat,memo,save,teleport,pvp,nopvpg
ama_fild01.gat,memo,save,teleport,pvp,nopvpg
ama_in01.gat,memo,save,teleport,pvp,nopvpg
ama_in02.gat,memo,save,teleport,pvp,nopvpg
ama_test.gat,memo,save,teleport,pvp,nopvpg
amatsu.gat,memo,save,teleport,pvp,nopvpg
anthell01.gat,memo,save,teleport,pvp,nopvpg
anthell02.gat,memo,save,teleport,pvp,nopvpg
arena_room.gat,memo,save,teleport,pvp,nopvpg
beach_dun.gat,memo,save,teleport,pvp,nopvpg
beach_dun2.gat,memo,save,teleport,pvp,nopvpg
beach_dun3.gat,memo,save,teleport,pvp,nopvpg
c_tower1.gat,memo,save,teleport,pvp,nopvpg
c_tower2.gat,memo,save,teleport,pvp,nopvpg
c_tower3.gat,memo,save,teleport,pvp,nopvpg
c_tower4.gat,memo,save,teleport,pvp,nopvpg
cmd_fild01.gat,memo,save,teleport,pvp,nopvpg
cmd_fild02.gat,memo,save,teleport,pvp,nopvpg
cmd_fild03.gat,memo,save,teleport,pvp,nopvpg
cmd_fild04.gat,memo,save,teleport,pvp,nopvpg
cmd_fild05.gat,memo,save,teleport,pvp,nopvpg
cmd_fild06.gat,memo,save,teleport,pvp,nopvpg
cmd_fild07.gat,memo,save,teleport,pvp,nopvpg
cmd_fild08.gat,memo,save,teleport,pvp,nopvpg
cmd_fild09.gat,memo,save,teleport,pvp,nopvpg
cmd_in01.gat,memo,save,teleport,pvp,nopvpg
cmd_in02.gat,memo,save,teleport,pvp,nopvpg
comodo.gat,memo,save,teleport,pvp,nopvpg
force_map1.gat,memo,save,teleport,pvp,nopvpg
force_map2.gat,memo,save,teleport,pvp,nopvpg
force_map3.gat,memo,save,teleport,pvp,nopvpg
gef_dun00.gat,memo,save,teleport,pvp,nopvpg
gef_dun01.gat,memo,save,teleport,pvp,nopvpg
gef_dun02.gat,memo,save,teleport,pvp,nopvpg
gef_dun03.gat,memo,save,teleport,pvp,nopvpg
gef_fild00.gat,memo,save,teleport,pvp,nopvpg
gef_fild01.gat,memo,save,teleport,pvp,nopvpg
gef_fild02.gat,memo,save,teleport,pvp,nopvpg
gef_fild03.gat,memo,save,teleport,pvp,nopvpg
gef_fild04.gat,memo,save,teleport,pvp,nopvpg
gef_fild05.gat,memo,save,teleport,pvp,nopvpg
gef_fild06.gat,memo,save,teleport,pvp,nopvpg
gef_fild07.gat,memo,save,teleport,pvp,nopvpg
gef_fild08.gat,memo,save,teleport,pvp,nopvpg
gef_fild09.gat,memo,save,teleport,pvp,nopvpg
gef_fild10.gat,memo,save,teleport,pvp,nopvpg
gef_fild11.gat,memo,save,teleport,pvp,nopvpg
gef_fild12.gat,memo,save,teleport,pvp,nopvpg
gef_fild13.gat,memo,save,teleport,pvp,nopvpg
gef_fild14.gat,memo,save,teleport,pvp,nopvpg
gef_tower.gat,memo,save,teleport,pvp,nopvpg
geffen.gat,memo,save,teleport,pvp,nopvpg
geffen_in.gat,memo,save,teleport,pvp,nopvpg
gefg_cas01.gat,nomemo,nosave,noteleport,nopvp,pvpg
gefg_cas02.gat,nomemo,nosave,noteleport,nopvp,pvpg
gefg_cas03.gat,nomemo,nosave,noteleport,nopvp,pvpg
gefg_cas04.gat,nomemo,nosave,noteleport,nopvp,pvpg
gefg_cas05.gat,nomemo,nosave,noteleport,nopvp,pvpg
gl_cas01.gat,memo,save,teleport,pvp,nopvpg
gl_cas02.gat,memo,save,teleport,pvp,nopvpg
gl_church.gat,memo,save,teleport,pvp,nopvpg
gl_chyard.gat,memo,save,teleport,pvp,nopvpg
gl_dun01.gat,memo,save,teleport,pvp,nopvpg
gl_dun02.gat,memo,save,teleport,pvp,nopvpg
gl_in01.gat,memo,save,teleport,pvp,nopvpg
gl_knt01.gat,memo,save,teleport,pvp,nopvpg
gl_knt02.gat,memo,save,teleport,pvp,nopvpg
gl_prison.gat,memo,save,teleport,pvp,nopvpg
gl_prison1.gat,memo,save,teleport,pvp,nopvpg
gl_sew01.gat,memo,save,teleport,pvp,nopvpg
gl_sew02.gat,memo,save,teleport,pvp,nopvpg
gl_sew03.gat,memo,save,teleport,pvp,nopvpg
gl_sew04.gat,memo,save,teleport,pvp,nopvpg
gl_step.gat,memo,save,teleport,pvp,nopvpg
glast_01.gat,memo,save,teleport,pvp,nopvpg
gld_dun01.gat,memo,save,teleport,pvp,nopvpg
gld_dun02.gat,memo,save,teleport,pvp,nopvpg
gld_dun03.gat,memo,save,teleport,pvp,nopvpg
gld_dun04.gat,memo,save,teleport,pvp,nopvpg
gon_dun01.gat,memo,save,teleport,pvp,nopvpg
gon_dun02.gat,memo,save,teleport,pvp,nopvpg
gon_dun03.gat,memo,save,teleport,pvp,nopvpg
gon_fild01.gat,memo,save,teleport,pvp,nopvpg
gon_in.gat,memo,save,teleport,pvp,nopvpg
gon_test.gat,memo,save,teleport,pvp,nopvpg
gonryun.gat,memo,save,teleport,pvp,nopvpg
guild_vs1.gat,nomemo,nosave,noteleport,nopvp,pvpg
guild_vs2.gat,nomemo,nosave,noteleport,nopvp,pvpg
guild_vs3.gat,nomemo,nosave,noteleport,nopvp,pvpg
guild_vs4.gat,nomemo,nosave,noteleport,nopvp,pvpg
guild_vs5.gat,nomemo,nosave,noteleport,nopvp,pvpg
in_hunter.gat,memo,save,teleport,pvp,nopvpg
in_moc_16.gat,nomemo,nosave,teleport,pvp,nopvpg
in_orcs01.gat,memo,save,teleport,pvp,nopvpg
in_rogue.gat,memo,save,teleport,pvp,nopvpg
in_sphinx1.gat,memo,save,teleport,pvp,nopvpg
in_sphinx2.gat,memo,save,teleport,pvp,nopvpg
in_sphinx3.gat,memo,save,teleport,pvp,nopvpg
in_sphinx4.gat,memo,save,teleport,pvp,nopvpg
in_sphinx5.gat,memo,save,teleport,pvp,nopvpg
iz_dun00.gat,memo,save,teleport,pvp,nopvpg
iz_dun01.gat,memo,save,teleport,pvp,nopvpg
iz_dun02.gat,memo,save,teleport,pvp,nopvpg
iz_dun03.gat,memo,save,teleport,pvp,nopvpg
iz_dun04.gat,memo,save,teleport,pvp,nopvpg
izlu2dun.gat,nomemo,save,teleport,pvp,nopvpg
izlude.gat,memo,save,teleport,pvp,nopvpg
izlude_in.gat,memo,save,teleport,pvp,nopvpg
job_cru.gat,nomemo,nosave,noteleport,nopvp,nopvpg
job_duncer.gat,nomemo,nosave,noteleport,nopvp,nopvpg
job_hunte.gat,nomemo,nosave,noteleport,nopvp,nopvpg
job_hunter.gat,nomemo,nosave,noteleport,nopvp,nopvpg
job_knight.gat,nomemo,save,noteleport,nopvp,nopvpg
job_knt.gat,nomemo,nosave,noteleport,nopvp,nopvpg
job_monk.gat,nomemo,nosave,noteleport,nopvp,nopvpg
job_priest.gat,nomemo,nosave,noteleport,nopvp,nopvpg
job_prist.gat,nomemo,nosave,noteleport,nopvp,nopvpg
job_sage.gat,nomemo,nosave,noteleport,nopvp,nopvpg
job_sword1.gat,nomemo,nosave,noteleport,nopvp,nopvpg
job_thief1.gat,nomemo,nosave,noteleport,nopvp,nopvpg
job_wiz.gat,nomemo,nosave,noteleport,nopvp,nopvpg
job_wizard.gat,nomemo,nosave,noteleport,nopvp,nopvpg
louyang.gat,memo,save,teleport,pvp,nopvpg
lou_fild01.gat,memo,save,teleport,pvp,nopvpg
lou_in01.gat,memo,save,teleport,pvp,nopvpg
lou_in02.gat,memo,save,teleport,pvp,nopvpg
lou_dun01.gat,memo,save,teleport,pvp,nopvpg
lou_dun02.gat,memo,save,teleport,pvp,nopvpg
lou_dun03.gat,memo,save,teleport,pvp,nopvpg
mag_dun01.gat,memo,save,teleport,pvp,nopvpg
mag_dun02.gat,memo,save,teleport,pvp,nopvpg
mjo_dun01.gat,memo,save,teleport,pvp,nopvpg
mjo_dun02.gat,memo,save,teleport,pvp,nopvpg
mjo_dun03.gat,memo,save,teleport,pvp,nopvpg
mjolnir_01.gat,memo,save,teleport,pvp,nopvpg
mjolnir_02.gat,memo,save,teleport,pvp,nopvpg
mjolnir_03.gat,memo,save,teleport,pvp,nopvpg
mjolnir_04.gat,memo,save,teleport,pvp,nopvpg
mjolnir_04_1.gat,memo,save,teleport,pvp,nopvpg
mjolnir_05.gat,memo,save,teleport,pvp,nopvpg
mjolnir_06.gat,memo,save,teleport,pvp,nopvpg
mjolnir_07.gat,nomemo,save,teleport,pvp,nopvpg
mjolnir_08.gat,nomemo,save,teleport,pvp,nopvpg
mjolnir_09.gat,memo,save,teleport,pvp,nopvpg
mjolnir_10.gat,memo,save,teleport,pvp,nopvpg
mjolnir_11.gat,memo,save,teleport,pvp,nopvpg
mjolnir_12.gat,memo,save,teleport,pvp,nopvpg
moc_castle.gat,memo,save,teleport,pvp,nopvpg
moc_fild01.gat,memo,save,teleport,pvp,nopvpg
moc_fild02.gat,memo,save,teleport,pvp,nopvpg
moc_fild03.gat,memo,save,teleport,pvp,nopvpg
moc_fild04.gat,memo,save,teleport,pvp,nopvpg
moc_fild05.gat,memo,save,teleport,pvp,nopvpg
moc_fild06.gat,memo,save,teleport,pvp,nopvpg
moc_fild07.gat,memo,save,teleport,pvp,nopvpg
moc_fild08.gat,memo,save,teleport,pvp,nopvpg
moc_fild09.gat,memo,save,teleport,pvp,nopvpg
moc_fild10.gat,memo,save,teleport,pvp,nopvpg
moc_fild11.gat,memo,save,teleport,pvp,nopvpg
moc_fild12.gat,memo,save,teleport,pvp,nopvpg
moc_fild13.gat,memo,save,teleport,pvp,nopvpg
moc_fild14.gat,memo,save,teleport,pvp,nopvpg
moc_fild15.gat,memo,save,teleport,pvp,nopvpg
moc_fild16.gat,memo,save,teleport,pvp,nopvpg
moc_fild17.gat,memo,save,teleport,pvp,nopvpg
moc_fild18.gat,memo,save,teleport,pvp,nopvpg
moc_fild19.gat,memo,save,teleport,pvp,nopvpg
moc_pryd01.gat,memo,save,teleport,pvp,nopvpg
moc_pryd02.gat,memo,save,teleport,pvp,nopvpg
moc_pryd03.gat,memo,save,teleport,pvp,nopvpg
moc_pryd04.gat,memo,save,teleport,pvp,nopvpg
moc_pryd05.gat,memo,save,teleport,pvp,nopvpg
moc_pryd06.gat,memo,save,teleport,pvp,nopvpg
moc_prydb1.gat,memo,save,teleport,pvp,nopvpg
moc_ruins.gat,memo,save,teleport,pvp,nopvpg
monk_in.gat,memo,save,teleport,pvp,nopvpg
monk_test.gat,memo,save,teleport,pvp,nopvpg
morocc.gat,memo,save,teleport,pvp,nopvpg
morocc_in.gat,memo,save,teleport,pvp,nopvpg
n_castle.gat,memo,save,teleport,pvp,nopvpg
new_zone01.gat,memo,save,teleport,pvp,nopvpg
new_zone02.gat,memo,save,teleport,pvp,nopvpg
new_zone03.gat,memo,save,teleport,pvp,nopvpg
new_zone04.gat,memo,save,teleport,pvp,nopvpg
nif_fild01.gat,memo,save,teleport,pvp,nopvpg
nif_fild02.gat,memo,save,teleport,pvp,nopvpg
nif_in.gat,memo,save,teleport,pvp,nopvpg
niflheim.gat,memo,save,teleport,pvp,nopvpg
orcsdun01.gat,memo,save,teleport,pvp,nopvpg
orcsdun02.gat,memo,save,teleport,pvp,nopvpg
