ID,Skill1,Skill2,Skill3,Skill4,Skill5,Skill6,Skill7,Skill8,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Percent1,Percent2,Percent3,Percent4,Percent5,Percent6,Percent7,Percent8
1268,57,114,148,0,0,0,0,0,8,1,1,0,0,0,0,0,25,20,10,0,0,0,0,0
1267,57,28,72,0,0,0,0,0,1,7,1,0,0,0,0,0,15,25,20,16,0,0,0,0
1030,52,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1287,272,52,0,0,0,0,0,0,1,3,0,0,0,0,0,0,25,20,0,0,0,0,0,0
1305,52,140,0,0,0,0,0,0,10,10,0,0,0,0,0,0,15,10,0,0,0,0,0,0
1096,5,12,28,156,0,0,0,0,10,10,10,1,0,0,0,0,10,12,15,20,0,0,0,0
1365,60,28,61,114,0,0,0,0,10,10,5,1,0,0,0,0,15,20,5,10,0,0,0,0
1388,137,28,15,0,0,0,0,0,5,10,10,0,0,0,0,0,10,15,16,0,0,0,0,0
1285,46,148,0,0,0,0,0,0,10,1,0,0,0,0,0,0,15,20,0,0,0,0,0,0
1016,46,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
1099,52,140,0,0,0,0,0,0,5,10,0,0,0,0,0,0,20,15,0,0,0,0,0,0
1100,52,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
1315,136,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
1039,85,60,26,57,0,0,0,0,10,10,1,7,0,0,0,0,15,13,19,20,0,0,0,0
1101,111,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1060,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
1268,57,83,0,0,0,0,0,0,9,10,0,0,0,0,0,0,15,8,0,0,0,0,0,0
1188,57,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
1267,6,26,28,0,0,0,0,0,10,1,6,0,0,0,0,0,10,5,14,0,0,0,0,0
1300,52,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
1250,28,18,0,0,0,0,0,0,9,10,0,0,0,0,0,0,10,15,0,0,0,0,0,0
1283,91,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
1214,28,6,152,0,0,0,0,0,1,1,1,0,0,0,0,0,10,5,8,0,0,0,0,0
1104,152,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
1269,180,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
1109,111,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
1269,28,11,0,0,0,0,0,0,3,10,0,0,0,0,0,0,10,15,0,0,0,0,0,0
1265,76,20,0,0,0,0,0,0,1,6,0,0,0,0,0,0,10,15,0,0,0,0,0,0
1209,52,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
1018,26,182,0,0,0,0,0,0,1,5,0,0,0,0,0,0,10,13,0,0,0,0,0,0
1293,26,181,177,0,0,0,0,0,1,5,5,0,0,0,0,0,10,12,13,0,0,0,0,0
1248,171,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
1260,181,177,180,199,0,0,0,0,5,5,1,1,0,0,0,0,12,13,8,7,0,0,0,0
1302,83,18,181,0,0,0,0,0,9,8,1,0,0,0,0,0,20,15,10,0,0,0,0,0
1038,83,19,11,20,56,15,0,0,10,10,10,10,10,5,0,0,15,20,12,11,24,9,0,0
1272,83,26,18,29,60,200,0,0,9,1,9,9,10,1,0,0,20,5,9,9,5,1,0,0
1385,136,114,0,0,0,0,0,0,5,1,0,0,0,0,0,0,15,20,0,0,0,0,0,0
1106,111,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
1107,111,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
1108,86,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
1109,84,200,0,0,0,0,0,0,1,1,0,0,0,0,0,0,15,10,0,0,0,0,0,0
1110,111,42,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,15,10,0,0,0,0,0
1046,60,57,28,26,29,56,114,0,10,5,9,9,1,9,7,1,14,15,20,9,22,23,25,0
1321,182,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
1111,178,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
1112,59,60,86,29,30,0,0,0,4,10,8,9,9,0,0,0,15,20,10,9,15,0,0,0
1115,17,7,58,29,60,26,0,0,10,10,7,3,9,1,0,0,14,15,16,10,8,0,0,0
1033,19,11,0,0,0,0,0,0,3,10,0,0,0,0,0,0,14,15,0,0,0,0,0,0
1117,83,85,0,0,0,0,0,0,10,10,0,0,0,0,0,0,15,20,0,0,0,0,0,0
