MobID,ItemID,EggID,AcceID,FoodID,Fullness,HungryDelay,R_Hungry,R_Full,???,Die,Capture,(Name),SkillTime
1002,619,9001,10013,531,80,20000,50,100,20,20,200,Poring,0
1011,624,9006,10002,537,80,10000,30,100,20,20,150,Chonchon,10
1014,630,9012,10017,537,80,20000,30,100,20,20,150,Spore,10
1019,632,9014,10010,537,80,15000,30,100,20,20,100,PecoPeco,0
1023,635,9017,10009,537,80,12000,20,100,20,20,50,OrcWarrior,0
1026,636,9018,10008,537,80,20000,20,100,20,20,50,Munak,0
1029,639,9021,10006,537,80,20000,10,100,20,20,50,Isis,0
1031,621,9003,10013,511,80,12000,30,100,20,20,100,Poporing,0
1035,626,9008,10002,716,80,12000,10,100,20,20,50,HunterFly,0
1042,625,9007,10002,1002,80,12000,20,100,20,20,100,SteelChonchon,20
1049,623,9005,10012,507,80,15000,40,100,20,20,200,Picky,10
1052,629,9011,10014,537,80,60000,30,100,20,20,150,Rocker,10
1056,633,9015,10019,537,80,15000,30,100,20,20,100,Smokie,0
1057,634,9016,10018,532,80,12000,20,100,20,20,100,Yoyo,0
1063,622,9004,10007,534,80,15000,40,100,20,20,150,Lunatic,10
1077,631,9013,10017,537,80,20000,20,100,20,20,100,PoisonSpore,0
1101,642,9024,10001,518,80,30000,10,100,20,20,20,Baphomet,0
1107,628,9010,10003,537,80,10000,40,100,20,20,100,BabyDesertWolf,0
1109,641,9023,10004,711,80,30000,10,100,20,20,50,Deviruchi,20
1110,637,9019,10005,537,80,15000,20,100,20,20,50,Dokebi,0
1113,620,9002,10013,508,80,15000,40,100,20,20,150,Drops,0
1155,640,9022,10011,537,80,15000,20,100,20,20,50,Petit,0
1167,627,9009,10015,537,80,8571,40,100,20,20,150,SavageBabe,10
1170,638,9020,10016,537,80,20000,10,100,20,20,50,Sohee,0
1188,659,9025,10020,537,80,20000,50,100,20,200,0,BonGun,0
1200,660,9027,0,929,80,20000,50,100,20,200,0,Zherlthsh,0
1275,661,9026,0,504,80,20000,50,100,20,200,0,Alice,0
