N,ID,JName,SType,MLV,SP1,SP2,SP3,SP4,SP5,SP6,SP7,SP8,SP9,SP10,HP,Item,Cast,CastLv,CastLim,Range,Ele,Dat1_1,Dat1_2,Dat1_3,Dat1_4,Dat1_5,Dat1_6,Dat1_7,Dat1_8,Dat1_9,Dat1_10,Dat2_1,Dat2_2,Dat2_3,Dat2_4,Dat2_5,Dat2_6,Dat2_7,Dat2_8,Dat2_9,Dat2_10,Range2,Icon,Job1,Req1_1,RLV1_1,Req1_2,RLV1_2,Req1_3,RLV1_3,Req1_4,RLV1_4,Req1_5,RLV1_5,Job2,Req2_1,RLV2_1,Req2_2,RLV2_2,Req2_3,RLV2_3,Req2_4,RLV2_4,Req2_5,RLV2_5,B1,BLV1,B2,BLV2,B3,BLV3,B4,BLV4,B5,BLV5,UnKnown
1,NV_BASIC,Basic_Skills,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16769023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SM_SWORD,Sword_Mastery,0,10,,,,,,,,,,,,,,,,,,4,8,12,16,20,24,28,32,36,40,,,,,,,,,,,,,8601730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,SM_TWOHAND,Two-Handed_Sword_Mastery,0,10,,,,,,,,,,,,,,,,,,4,8,12,16,20,24,28,32,36,40,,,,,,,,,,,,,16514,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,SM_RECOVERY,HP_Recovery,0,10,,,,,,,,,,,,,,,,,,5,10,15,20,25,30,35,40,45,50,2,10,,,,,,,,,,,8405122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,SM_BASH,Bash,1,10,8,8,8,8,8,15,15,15,15,15,,,,,,1,,130,160,190,220,250,280,310,340,370,400,10,10,10,10,10,20,20,20,20,20,,,8405122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,SM_PROVOKE,Provoke,1,10,4,5,6,7,8,9,10,11,12,13,,,,,,6,,102,104,106,108,110,112,114,116,118,120,94,88,82,76,70,64,58,52,46,40,,,8405122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,SM_MAGNUM,Magnum_Break,1,10,15,15,15,15,15,15,15,15,15,15,15,,,,,1,3,120,125,130,135,140,145,150,155,160,165,70,75,80,85,90,95,100,105,110,115,2,,8405122,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SM_ENDURE,Endure,4,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,10,13,16,19,22,25,28,31,34,37,,,,,,,,,,,,1,8405122,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,MG_SRECOVERY,SP_Recovery,0,10,,,,,,,,,,,,,,,,,,3,6,9,12,15,18,21,24,27,30,,,,,,,,,,,,,8454916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,MG_SIGHT,Sight,4,1,10,,,,,,,,,,,,,,,9,,10,,,,,,,,,,,,,,,,,,,,,,8454660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,MG_NAPALMBEAT,Napalm_Beat,1,10,9,9,9,9,9,9,9,9,9,9,,,500,,,9,8,80,90,100,110,120,130,140,150,160,170,1,1,1,1,1,1,1,1,1,1,,,8454660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,MG_SAFETYWALL,Safety_Wall,2,10,30,30,30,35,35,35,40,40,40,40,,717,4500,-500,1000,9,,5,10,15,20,25,30,35,40,45,50,3,4,5,6,7,8,9,10,11,12,,,8454660,11,7,13,5,,,,,,,256,68,4,70,3,,,,,,,,,,,,,,,,,
13,MG_SOULSTRIKE,Soul_Strike,1,10,15,18,22,24,27,30,33,36,39,42,,,500,,,9,8,100,100,100,100,100,100,100,100,100,100,1,1,2,2,3,3,4,4,5,5,,,8454660,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,MG_COLDBOLT,Cold_Bolt,1,10,12,14,16,18,20,22,24,26,28,30,,,,700,,9,1,100,100,100,100,100,100,100,100,100,100,1,2,3,4,5,6,7,8,9,10,,,8454660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,MG_FROSTDIVER,Frost_Driver,1,10,25,24,23,22,21,20,19,18,17,16,,,1000,,,9,1,38,41,44,47,50,53,56,59,62,65,3,6,9,12,15,18,21,24,27,30,,,8454660,14,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,MG_STONECURSE,Stone_Curse,1,10,25,24,23,22,21,20,19,18,17,16,,716,1000,,,9,2,24,28,32,36,40,44,48,52,56,60,30,30,30,30,30,30,30,30,30,30,,,8454660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,MG_FIREBALL,Fire_Ball,1,10,25,25,25,25,25,25,25,25,25,25,,,1600,,,9,3,100,105,110,115,120,125,130,135,140,145,1,1,1,1,1,1,1,1,1,1,2,,8454660,19,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,MG_FIREWALL,Fire_Wall,2,10,40,40,40,40,40,40,40,40,40,40,,,2150,-150,,9,3,50,50,50,50,50,50,50,50,50,50,5,6,7,8,9,10,11,12,13,14,,,8454660,17,5,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,MG_FIREBOLT,Fire_Bolt,1,10,12,14,16,18,20,22,24,26,28,30,,,,700,,9,3,100,100,100,100,100,100,100,100,100,100,1,2,3,4,5,6,7,8,9,10,,,8454660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
