ID,Definition...
1134,1350
1135,10054
1166,1950
1167,10200
1169,1750
1227,1350
1228,1750
1233,1650
1256,4210
1258,5310
1259,4410
1261,1750
1366,10280
1367,1250
1413,1950
1416,7059
1468,10210
1470,10134,10284
1471,10170
1522,4301
2201,5500
2207,1310
2218,5301
2242,5510
2243,5515
2253,1410
2254,1603
2255,1803
2264,1110
2265,5315
2267,1403
2268,1403
2269,1303
2270,1303
2282,2615
2283,5210
2289,1710
2291,1703
2292,2310
2295,5510
2319,5503
2327,1615,2710
4005,2720
4007,1020
4017,4305
4020,5505
4024,4405
4030,2420
4033,10530
4035,1720
4037,5105
4039,5320
4040,10260
4041,4420
4042,2410
4044,10510
4046,5520
4048,10520
4049,2320
4053,10280
4055,4205
4056,2430
4057,5305
4058,1730
4060,1220
4062,2520
4063,1420
4065,2220
4066,1230
4067,4220
4068,1320
4069,2120
4071,1130
4073,10374
4074,1430
4075,4120
4076,5205
4080,1520
4081,2230
4082,3115
4083,1530
4084,10072
4085,2620
4087,5410
4088,11350
4090,2205,4115
4092,3215
4093,10350
4095,2130
4096,5104
4102,2825
4103,10100
4104,5405
4105,4210,2105
4108,5130
4109,2330
4110,2520
4111,1620
4112,5310
4113,2830
4114,5105
4115,6153
4116,2730
4117,10480
4118,1920
4120,1930
4122,5510
4124,1615
4125,1207,1307,1407,1707
4130,2920
4133,2015
4133,2015
4134,7053
4136,1630
4138,1830
4139,10500
4143,4310
4147,8000
4156,10452
5001,5201
5004,5120
5005,5130
