//MapName, TerritoryName
pay_gld,"Balder Realm, Greenwood Lake"
payg_cas01,"Bright Arbor"
payg_cas02,"Scarlet Palace"
payg_cas03,"Holy Shadow"
payg_cas04,"Sacred Altar"
payg_cas05,"Bamboo Grove Hill"
alde_gld,"Luina, the satellite of Al De Baran"
aldeg_cas01,"Neuschwanstein"
aldeg_cas02,"Hohenschwangau"
aldeg_cas03,"Nuernberg"
aldeg_cas04,"Wuerzburg"
aldeg_cas05,"Rothenburg"
gef_fild13,"Britoniah" 
gefg_cas01,"Repherion"
gefg_cas02,"Eeyorbriggar"
gefg_cas03,"Yesnelph"
gefg_cas04,"Bergel"
gefg_cas05,"Mersetzdeitz"
prtg_gld,"Valkyrie Realms"
prtg_cas01,"Kriemhild"
prtg_cas02,"Swanhild"
prtg_cas03,"Fadhgridh"
prtg_cas04,"Skoegul"
prtg_cas05,"Gondul"
